Model,Spearman,LinearProbe,kNN
ESM-3,0.358390364083506,0.7996715927750411,0.6945812807881774
ESM-1b,0.32372939684161817,0.7881773399014778,0.7307060755336617
SaProt,0.35771467328956486,0.7877668308702791,0.6707717569786534
Nucleotide Transformer,0.32882432664073596,0.6473727422003285,0.5882594417077175
AlphaGenome,0.21426274783451396,0.5874384236453202,0.5763546798029556
